NP,804986.835,388966.082,16.343,New Nail
N1,804995.190,388934.897,16.605,Nail in Path
N2,804996.246,388914.939,16.750,Nail in Path
NQ,805002.455,388855.951,17.016,New Nail
I_148,805052.406,388871.257,17.959,
I_147,805053.347,388871.908,17.962,
PEG7,805058.244,388932.253,16.567,New Nail in Peg
PEG8,805075.794,388937.051,16.494,New Nail in Peg
Peg15,805082.897,388954.974,16.072,Screw in peg
IS8,805116.966,388954.124,16.381,Old IS
Peg14,805076.222,388965.124,15.989,Screw in peg
Peg13,805072.167,388972.415,15.980,Screw in peg
Peg12,805067.728,388980.056,15.928,Screw in peg
PEGA,805026.278,388987.536,16.121,Found Peg
IS1,805016.539,388986.733,16.119,Old IS
