type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,806333.194563123,388790.161750648,14.604236330489,0.018,0.033,15/10/2023 10:36:14 p.m.,638330061740000000
World,806333.1850018,388790.168371904,14.6117283707947,0.019,0.035,15/10/2023 10:36:15 p.m.,638330061750000000
World,806333.094144019,388789.833599904,14.6630295850882,0.02,0.035,15/10/2023 10:36:16 p.m.,638330061760000000
World,806332.929835346,388789.006869566,14.6692428417444,0.022,0.036,15/10/2023 10:36:17 p.m.,638330061770000000
World,806332.786083755,388788.108449465,14.6797969098623,0.023,0.037,15/10/2023 10:36:18 p.m.,638330061780000000
World,806332.658480639,388787.254622547,14.7172876218971,0.025,0.038,15/10/2023 10:36:19 p.m.,638330061790000000
World,806332.590612925,388786.419449503,14.7354452670104,0.027,0.04,15/10/2023 10:36:20 p.m.,638330061800000000
World,806332.490588167,388785.74995474,14.7602627736502,0.03,0.043,15/10/2023 10:36:21 p.m.,638330061810000000
World,806332.484705266,388785.418859358,14.7542157514302,0.031,0.044,15/10/2023 10:36:22 p.m.,638330061820000000
World,806332.555559797,388786.057660905,14.7315608663716,0.029,0.046,15/10/2023 10:36:23 p.m.,638330061830000000
World,806332.648718972,388786.831839687,14.7369363677814,0.032,0.048,15/10/2023 10:36:24 p.m.,638330061840000000
World,806332.772159975,388787.618747205,14.6940206382386,0.034,0.049,15/10/2023 10:36:25 p.m.,638330061850000000
World,806332.895668876,388788.35297022,14.6868390578384,0.036,0.051,15/10/2023 10:36:26 p.m.,638330061860000000
World,806333.01604409,388788.971436435,14.6621888454705,0.036,0.051,15/10/2023 10:36:27 p.m.,638330061870000000
World,806333.008439165,388789.36604763,14.6433297479292,0.029,0.036,15/10/2023 10:36:28 p.m.,638330061880000000
World,806333.076268257,388789.247895178,14.6315938405706,0.031,0.038,15/10/2023 10:36:29 p.m.,638330061890000000
World,806333.266504687,388788.55975957,14.6136579112837,0.032,0.039,15/10/2023 10:36:30 p.m.,638330061900000000
World,806333.522737938,388787.721367257,14.6419300042019,0.03,0.039,15/10/2023 10:36:31 p.m.,638330061910000000
World,806333.76986726,388786.890362899,14.6597358808204,0.031,0.04,15/10/2023 10:36:32 p.m.,638330061920000000
