type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
World,388966.23749083,804986.794283651,17.4094974025442,0.017,0.029,28/09/2023 11:19:09 p.m.,638315399490000000
World,388966.215754278,804986.766580183,17.4250951458019,0.018,0.031,28/09/2023 11:19:10 p.m.,638315399500000000
World,388966.231907426,804986.739998805,17.394488283619,0.014,0.023,28/09/2023 11:19:11 p.m.,638315399510000000
World,388966.226249228,804986.742459652,17.39955470406,0.014,0.023,28/09/2023 11:19:12 p.m.,638315399520000000
World,388966.237600411,804986.73747747,17.3887775531789,0.011,0.018,28/09/2023 11:19:13 p.m.,638315399530000000
World,388966.236421196,804986.741754188,17.3829733016181,0.012,0.02,28/09/2023 11:19:14 p.m.,638315399540000000
World,388966.228901469,804986.743969696,17.370656848923,0.011,0.018,28/09/2023 11:19:15 p.m.,638315399550000000
World,388966.005273271,804986.803154911,17.450294886767,0.011,0.019,28/09/2023 11:19:16 p.m.,638315399560000000
World,388964.861128249,804987.199104201,17.5113400572686,0.011,0.019,28/09/2023 11:19:17 p.m.,638315399570000000
World,388963.345112119,804987.9164999,17.5097301531048,0.013,0.022,28/09/2023 11:19:18 p.m.,638315399580000000
World,388961.831019625,804988.689581868,17.5428997792877,0.012,0.02,28/09/2023 11:19:19 p.m.,638315399590000000
World,388960.449618879,804989.355630731,17.5700631598634,0.013,0.022,28/09/2023 11:19:20 p.m.,638315399600000000
World,388959.174010678,804990.052514345,17.5965354942361,0.015,0.026,28/09/2023 11:19:21 p.m.,638315399610000000
World,388957.835339633,804990.640002956,17.6176130006648,0.016,0.027,28/09/2023 11:19:22 p.m.,638315399620000000
World,388956.438073591,804991.207783888,17.63446002371,0.017,0.028,28/09/2023 11:19:23 p.m.,638315399630000000
World,388955.011526532,804991.657813139,17.6623182531866,0.017,0.026,28/09/2023 11:19:24 p.m.,638315399640000000
World,388953.559310219,804992.011488855,17.6981475908488,0.017,0.028,28/09/2023 11:19:25 p.m.,638315399650000000
World,388952.052148002,804992.299510911,17.6808198334185,0.018,0.029,28/09/2023 11:19:26 p.m.,638315399660000000
World,388950.5335956,804992.54610665,17.6829237311699,0.017,0.027,28/09/2023 11:19:27 p.m.,638315399670000000
World,388948.975207045,804992.836775517,17.6609221808571,0.017,0.028,28/09/2023 11:19:28 p.m.,638315399680000000
World,388947.459000635,804993.125194952,17.6531738779716,0.015,0.023,28/09/2023 11:19:29 p.m.,638315399690000000
World,388945.957853458,804993.362155029,17.6574490286728,0.011,0.018,28/09/2023 11:19:30 p.m.,638315399700000000
World,388944.437167823,804993.628375679,17.6774475680478,0.012,0.02,28/09/2023 11:19:31 p.m.,638315399710000000
World,388942.920939537,804993.835396729,17.7176014802725,0.01,0.016,28/09/2023 11:19:32 p.m.,638315399720000000
World,388941.426097196,804994.071762991,17.7197905294943,0.011,0.018,28/09/2023 11:19:33 p.m.,638315399730000000
