id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
26,World,388966.223697866,804986.756927051,17.4734954138852,0.016,0.031,16/10/2023 4:16:33 a.m.,638330265930000000
54,World,388935.065729151,804995.080207941,17.722533874836,0.014,0.03,16/10/2023 4:17:01 a.m.,638330266210000000
82,World,388915.098561407,804996.133312225,17.847487482523,0.014,0.023,16/10/2023 4:17:29 a.m.,638330266490000000
339,World,388856.101801208,805002.335010595,18.1111107960826,0.013,0.02,16/10/2023 4:18:25 a.m.,638330267050000000
1194,Device,388871.059687009,805052.41713802,19.0163077513327,0.166530151919802,0.0786620801306654,16/10/2023 4:19:31 a.m.,638330267710007870
1609,Device,388871.808421134,805053.356542168,18.8761594240899,0.102340109851085,0.0697763843658657,16/10/2023 4:19:45 a.m.,638330267850062920
2273,World,388932.398091366,805058.131165474,17.668884868884,0.01,0.014,16/10/2023 4:21:01 a.m.,638330268610000000
2299,World,388937.182959384,805075.608785731,17.5947366301946,0.044,0.069,16/10/2023 4:21:27 a.m.,638330268870000000
2328,World,388955.550226966,805082.287806094,17.6073110437777,0.096,0.184,16/10/2023 4:21:56 a.m.,638330269160000000
2969,World,388954.254919604,805116.850196456,17.4415161223576,0.016,0.024,16/10/2023 4:22:44 a.m.,638330269640000000
3018,World,388965.809067599,805075.798212918,17.5601451071131,0.084,0.091,16/10/2023 4:23:33 a.m.,638330270130000000
3263,Device,388973.337517067,805071.414909648,17.5864658988193,0.145977232121298,0.112025793054998,16/10/2023 4:23:54 a.m.,638330270349871110
3915,Device,388980.807200468,805067.097689303,17.0037461637307,0.0946994207899087,0.0776795511957254,16/10/2023 4:24:16 a.m.,638330270569915560
