id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388966.847878787,804986.677153598,17.4779691660991,0.012,0.021,28/09/2023 10:28:44 p.m.,638315369240000000
2,World,388966.381994874,804986.736206648,17.415782804622,0.012,0.023,28/09/2023 10:28:45 p.m.,638315369250000000
3,World,388966.215913596,804986.740106205,17.3937549087839,0.012,0.023,28/09/2023 10:28:46 p.m.,638315369260000000
4,World,388966.194287313,804986.701800023,17.3797630377338,0.011,0.02,28/09/2023 10:28:47 p.m.,638315369270000000
5,World,388966.184668913,804986.689790477,17.3841272708337,0.011,0.021,28/09/2023 10:28:48 p.m.,638315369280000000
6,World,388966.224046063,804986.742254845,17.405291180848,0.01,0.02,28/09/2023 10:28:49 p.m.,638315369290000000
7,World,388966.235435476,804986.728870815,17.3920611059643,0.011,0.021,28/09/2023 10:28:50 p.m.,638315369300000000
8,World,388966.222618715,804986.737303032,17.3936971604155,0.008,0.014,28/09/2023 10:28:51 p.m.,638315369310000000
9,World,388966.219952659,804986.735242707,17.3983562688792,0.008,0.015,28/09/2023 10:28:52 p.m.,638315369320000000
10,World,388966.213708682,804986.745940434,17.422685823345,0.008,0.013,28/09/2023 10:28:53 p.m.,638315369330000000
11,World,388966.211798479,804986.747473859,17.4288021571711,0.008,0.014,28/09/2023 10:28:54 p.m.,638315369340000000
12,World,388966.218470166,804986.74171905,17.4140268672422,0.007,0.012,28/09/2023 10:28:55 p.m.,638315369350000000
13,World,388966.167620057,804986.776982932,17.4770529276896,0.008,0.014,28/09/2023 10:28:56 p.m.,638315369360000000
14,World,388965.353215193,804987.151961608,17.5772997355184,0.009,0.015,28/09/2023 10:28:57 p.m.,638315369370000000
15,World,388964.15494499,804987.606584593,17.5656128794116,0.012,0.019,28/09/2023 10:28:58 p.m.,638315369380000000
16,World,388962.798079048,804988.286668069,17.6239012271458,0.01,0.018,28/09/2023 10:28:59 p.m.,638315369390000000
17,World,388961.420737264,804988.993678001,17.6109800946516,0.01,0.018,28/09/2023 10:29:00 p.m.,638315369400000000
18,World,388960.053413834,804989.593605626,17.6224047391498,0.015,0.026,28/09/2023 10:29:01 p.m.,638315369410000000
19,World,388958.67213121,804990.124449155,17.6389722917075,0.027,0.037,28/09/2023 10:29:02 p.m.,638315369420000000
20,World,388957.245026986,804990.720370013,17.5536783015476,0.018,0.029,28/09/2023 10:29:03 p.m.,638315369430000000
21,World,388955.752393587,804991.214049262,17.6184301774179,0.015,0.027,28/09/2023 10:29:04 p.m.,638315369440000000
22,World,388954.286317331,804991.633018323,17.6377738821289,0.013,0.026,28/09/2023 10:29:05 p.m.,638315369450000000
23,World,388952.833804428,804992.05751103,17.697452180561,0.014,0.028,28/09/2023 10:29:06 p.m.,638315369460000000
24,World,388951.32864427,804992.364591524,17.7306545149856,0.011,0.027,28/09/2023 10:29:07 p.m.,638315369470000000
25,World,388949.818627445,804992.670890332,17.7141268412492,0.012,0.027,28/09/2023 10:29:08 p.m.,638315369480000000
26,World,388948.261298586,804992.919652975,17.7349804477058,0.011,0.02,28/09/2023 10:29:09 p.m.,638315369490000000
27,World,388946.72375293,804993.194512476,17.7841275959818,0.011,0.021,28/09/2023 10:29:10 p.m.,638315369500000000
28,World,388945.174897338,804993.463735197,17.7987692168033,0.01,0.018,28/09/2023 10:29:11 p.m.,638315369510000000
29,World,388943.643653823,804993.664875772,17.7813781451348,0.01,0.018,28/09/2023 10:29:12 p.m.,638315369520000000
30,World,388942.123618098,804993.790758754,17.7894444728499,0.011,0.019,28/09/2023 10:29:13 p.m.,638315369530000000
31,World,388940.608019401,804993.941810323,17.7772442447124,0.009,0.016,28/09/2023 10:29:14 p.m.,638315369540000000
32,World,388939.173852276,804994.153512732,17.8011350157477,0.008,0.014,28/09/2023 10:29:15 p.m.,638315369550000000
33,World,388937.75772205,804994.441848348,17.801546301489,0.009,0.015,28/09/2023 10:29:16 p.m.,638315369560000000
34,World,388936.443185838,804994.824859368,17.7955736151773,0.008,0.014,28/09/2023 10:29:17 p.m.,638315369570000000
35,World,388935.47429553,804995.092267075,17.7734822462905,0.009,0.015,28/09/2023 10:29:18 p.m.,638315369580000000
