id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
1,World,388967.319843759,804988.397632443,17.5286024204719,0.013,0.02,28/09/2023 11:18:38 p.m.,638315399180000000
2,World,388967.077470437,804988.397766899,17.4986808540124,0.012,0.02,28/09/2023 11:18:39 p.m.,638315399190000000
3,World,388966.300114611,804988.597685274,17.502790504612,0.014,0.023,28/09/2023 11:18:40 p.m.,638315399200000000
4,World,388965.290219605,804988.894620571,17.5112506042165,0.012,0.021,28/09/2023 11:18:41 p.m.,638315399210000000
5,World,388964.266785188,804989.214409657,17.5408756666203,0.014,0.024,28/09/2023 11:18:42 p.m.,638315399220000000
6,World,388963.393455226,804989.466868152,17.527127059463,0.012,0.022,28/09/2023 11:18:43 p.m.,638315399230000000
7,World,388962.693223811,804989.662446801,17.5159418671517,0.013,0.023,28/09/2023 11:18:44 p.m.,638315399240000000
8,World,388962.32753972,804989.462237318,17.5210500383347,0.013,0.023,28/09/2023 11:18:45 p.m.,638315399250000000
9,World,388962.245533648,804988.598276876,17.5020047389903,0.015,0.025,28/09/2023 11:18:46 p.m.,638315399260000000
10,World,388962.515129125,804987.959412831,17.5159616390195,0.015,0.024,28/09/2023 11:18:47 p.m.,638315399270000000
11,World,388963.219211633,804987.589638085,17.4909082066531,0.016,0.026,28/09/2023 11:18:48 p.m.,638315399280000000
12,World,388964.136892759,804987.410137684,17.5295198264928,0.016,0.024,28/09/2023 11:18:49 p.m.,638315399290000000
13,World,388964.975691385,804987.21583545,17.5558883472396,0.017,0.027,28/09/2023 11:18:50 p.m.,638315399300000000
14,World,388965.808344885,804987.15051269,17.5101084566715,0.017,0.026,28/09/2023 11:18:51 p.m.,638315399310000000
15,World,388966.490575353,804987.697861583,17.4768955124937,0.015,0.024,28/09/2023 11:18:52 p.m.,638315399320000000
16,World,388967.169505371,804988.30086594,17.5054367434599,0.016,0.025,28/09/2023 11:18:53 p.m.,638315399330000000
17,World,388968.000360126,804988.337553736,17.5090695376856,0.017,0.027,28/09/2023 11:18:54 p.m.,638315399340000000
18,World,388968.637106689,804988.185354863,17.6459837782874,0.014,0.023,28/09/2023 11:18:55 p.m.,638315399350000000
19,World,388969.116920059,804987.644735251,17.7982123972736,0.012,0.021,28/09/2023 11:18:56 p.m.,638315399360000000
20,World,388969.074955438,804986.848113364,17.7121951744991,0.013,0.022,28/09/2023 11:18:57 p.m.,638315399370000000
21,World,388968.692142901,804986.196110451,17.5998024512913,0.014,0.024,28/09/2023 11:18:58 p.m.,638315399380000000
22,World,388968.175117632,804985.735877414,17.5458467288343,0.012,0.021,28/09/2023 11:18:59 p.m.,638315399390000000
