id,type,x,y,z,horizontalAccuracy,verticalAccuracy,timeStamp,timeStampTick
4,World,388966.226249228,804986.742459652,17.39955470406,0.014,0.023,28/09/2023 11:19:12 p.m.,638315399520000000
43,World,388935.052955583,804995.07297732,17.6536206414912,0.009,0.014,28/09/2023 11:19:51 p.m.,638315399910000000
64,World,388915.085775275,804996.133745979,17.8023144360707,0.008,0.012,28/09/2023 11:20:12 p.m.,638315400120000000
127,World,388856.091642718,805002.326818364,18.0697763494764,0.008,0.013,28/09/2023 11:21:15 p.m.,638315400750000000
182,World,388870.743679061,805050.544752513,19.0984175300423,0.613,0.664,28/09/2023 11:22:10 p.m.,638315401300000000
200,World,388871.991808245,805053.308912329,19.0375210446432,0.374,0.769,28/09/2023 11:22:28 p.m.,638315401480000000
254,World,388932.40352002,805058.112910908,17.6140329720158,0.009,0.012,28/09/2023 11:23:22 p.m.,638315402020000000
284,World,388937.253605803,805075.515715698,17.5699220011283,0.049,0.06,28/09/2023 11:23:52 p.m.,638315402320000000
313,World,388955.727555246,805082.266104031,17.4849565583988,0.038,0.03,28/09/2023 11:24:21 p.m.,638315402610000000
353,World,388954.482475207,805115.991527599,19.0255725353894,0.884,1.299,28/09/2023 11:25:01 p.m.,638315403010000000
392,World,388966.053975934,805075.454803091,18.5320164256049,0.859,1.263,28/09/2023 11:25:40 p.m.,638315403400000000
394,World,388974.152131998,805071.508737698,19.791119325501,0.97,1.447,28/09/2023 11:26:08 p.m.,638315403680000000
409,World,388981.267162523,805067.320409469,18.6481758155851,0.828,1.274,28/09/2023 11:26:23 p.m.,638315403830000000
440,World,388987.74001522,805027.116260419,18.2786774109289,0.921,1.076,28/09/2023 11:27:09 p.m.,638315404290000000
462,World,388986.936485332,805017.130236381,18.1740448264795,0.581,0.75,28/09/2023 11:27:31 p.m.,638315404510000000
