peg_id,f_easting,f_northing,f_elevation,f_horizontal_acc,f_vertical_acc,d_easting,d_northing,d_elevation,d_horizontal_acc,d_vertical_acc,w_easting,w_northing,w_elevation,w_horizontal_acc,w_vertical_acc
1,388966.236168088,804986.736458238,17.4162989029513,0.014,0.023,388965.965550771,804986.969556884,17.419985494996,0.170708397353297,0.10731922494432,388966.236168088,804986.736458238,17.4162989029513,0.014,0.023
2,388935.05386741,804995.080224102,17.6597880737989,0.011,0.018,388934.858315554,804995.063693227,17.6587246360102,0.246171270926483,0.0929813433107721,388935.05386741,804995.080224102,17.6597880737989,0.011,0.018
3,388915.088501035,804996.122737294,17.7976909794653,0.014,0.022,388915.143951004,804996.20647654,17.8358091517218,0.150112246888404,0.0693650890596495,388915.088501035,804996.122737294,17.7976909794653,0.014,0.022
4,388856.082274229,805002.330898209,18.0746619260638,0.009,0.014,388855.336666898,805002.401041826,18.0710537874305,0.463079742062096,0.0393458569086191,388856.082274229,805002.330898209,18.0746619260638,0.009,0.014
5,388871.625341278,805052.432897385,18.6234895997554,0.205211800289723,0.0897991818642389,388871.625341278,805052.432897385,18.6234895997554,0.205211800289723,0.0897991818642389,388871.420362914,805051.432154288,18.3597294078227,0.803,0.811
6,388872.211971037,805053.619505652,18.6709874742903,0.193549426551658,0.0934980853860352,388872.211971037,805053.619505652,18.6709874742903,0.193549426551658,0.0934980853860352,388871.9798714,805052.297544422,18.3858407003765,0.839,0.854
7,388932.397837711,805058.109536919,17.6232627282717,0.009,0.014,388932.595441305,805058.091616532,17.6180700093942,0.151413241327696,0.0703153155303998,388932.397837711,805058.109536919,17.6232627282717,0.009,0.014
8,388937.133704644,805075.661233385,17.4382908394647,0.035,0.055,388937.608914401,805075.799687991,17.6144906822281,0.208030207847203,0.0736807829798573,388937.133704644,805075.661233385,17.4382908394647,0.035,0.055
9,388955.57265929,805082.36778059,17.3288871292205,0.102,0.147,388955.720801288,805082.480197192,17.3667229201121,0.245297038869596,0.192522428831432,388955.57265929,805082.36778059,17.3288871292205,0.102,0.147
10,388954.252346944,805116.851844405,17.4533377872964,0.017,0.028,388954.283578982,805117.085033473,17.4411037235204,0.262162447110376,0.179532544057857,388954.252346944,805116.851844405,17.4533377872964,0.017,0.028
11,388965.902271121,805075.842295079,17.6360431605871,0.121,0.159,388966.123270849,805075.406893889,17.407282962078,0.271081297450367,0.164940136318949,388965.902271121,805075.842295079,17.6360431605871,0.121,0.159
12,388973.490263273,805071.208027035,17.58859714511,0.268542074602065,0.169492962192408,388973.490263273,805071.208027035,17.58859714511,0.268542074602065,0.169492962192408,388972.860319853,805072.065320588,17.601703831582,0.299,0.347
13,388983.991017763,805063.004501559,20.3102879235428,0.239926755282162,0.176978261206169,388983.991017763,805063.004501559,20.3102879235428,0.239926755282162,0.176978261206169,388980.039233603,805067.864487911,17.9998053074104,0.486,0.549
14,388987.654729803,805026.154191171,17.1802511969038,0.026,0.041,388990.120922717,805021.6581383,19.9941629944049,0.239926755282162,0.176978261206169,388987.654729803,805026.154191171,17.1802511969038,0.026,0.041
15,388986.86632583,805016.41372743,17.138575649892,0.013,0.024,388986.887004112,805016.378853074,17.1551422211649,0.123395923502118,0.0978839468764282,388986.86632583,805016.41372743,17.138575649892,0.013,0.024
